dist,region,reg_prop,2020_pop,pop_pct,2025_dif,2025_pop,2030_dif,2030_pop,2035_dif,2035_pop,2040_dif,2040_pop,2045_dif,2045_pop,2050_dif,2050_pop,2055_dif,2055_pop,2060_dif,2060_pop,2065_dif,2065_pop,2070_dif,2070_pop,2075_dif,2075_pop,2080_dif,2080_pop,2085_pop,2085_pop,2090_dif,2090_pop,2095_dif,2095_pop,2100_dif,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Birim Central,WESTERN NORTH,Western North,85689,0.28,13543,99232,21660,107349,32359,118048,40539,126228,51483,137172,58892,144581,69095,154784,75169,160858,84411,170100,89231,174920,97543,183232,101024,186713,108071,193760,109882,195571,115491,201180,115916,201605,12318,118291,8.1,
Birim North,UPPER EAST,Upper East,99464,0.32,13944,113408,25142,124606,35448,134912,47056,146520,57304,156768,68359,167823,77432,176896,87253,186717,94936,194400,103576,203040,109944,209408,117264,216728,121976,221440,127546,227010,130456,229920,134550,234014,15589,629982,3.8,
Birim South,EASTERN,Eastern,58672,0.19,8664,67336,14831,73503,21432,80104,27758,86430,34409,93081,40324,98996,46360,105032,51469,110141,56753,115425,61097,119769,65664,124336,69172,127844,72808,131480,75237,133909,77843,136515,79369,138041,7092,346558,10,
Bodi,EASTERN,Eastern,71133,0.23,10379,81512,17981,89114,25835,96968,33653,104786,41544,112677,48888,120021,56011,127144,62400,133533,68592,139725,74073,145206,79379,150512,83863,154996,88027,159160,91216,162349,94122,165255,96226,167359,8175,735003,9.5,
Bole,EASTERN,Eastern,78010,0.25,10590,88600,19719,97729,27390,105400,36906,114916,44465,122475,53614,131624,60190,138200,68433,146443,73865,151875,81235,159245,85590,163600,91970,169980,94990,173000,100035,178045,101615,179625,105528,183538,15231,6850250,8.4,
Bolgatanga,SAVANNAH,Savannah,128548,0.42,20300,148848,32494,161042,48524,177072,60816,189364,77210,205758,88348,216896,103628,232176,112766,241314,126602,255150,133862,262410,146300,274848,151552,280100,162092,290640,164841,293389,173222,301770,173894,302442,21254,359066,1.7,
Bolgatanga East,WESTERN NORTH,Western North,35168,0.11,3816,38984,8890,44058,11208,46376,16638,51806,18721,53889,24170,59338,25640,60808,30850,66018,31657,66825,36622,71790,36816,71984,41462,76630,40952,76120,45097,80265,43867,79035,47574,82742,5626,82591,18.7,
Bongo,UPPER EAST,Upper East,105206,0.34,15290,120496,26594,131800,38138,143344,49773,154979,61360,166566,72306,177512,82746,187952,92290,197496,101344,206550,109555,214761,117290,222496,124033,229239,130074,235280,134909,240115,139084,244290,142318,247524,5954,461363,12.6,
Bosome Freho,UPPER EAST,Upper East,74870,0.24,10186,85056,18926,93796,26314,101184,35421,110291,42706,117576,51456,126326,57802,132672,65678,140548,70930,145800,77965,152835,82186,157056,88268,163138,91210,166080,96008,170878,97570,172440,101281,176151,9784,632272,11.9,
Bosomtwe,UPPER EAST,Upper East,116360,0.38,18312,134672,29413,145773,43848,160208,55050,171410,69802,186162,79972,196332,93704,210064,102074,218434,114490,230850,121170,237530,132312,248672,137183,253543,146600,262960,149212,265572,156670,273030,157407,273767,30973,469562,,
Builsa North,ASHANTI,Ashanti,70321,0.23,11191,81512,17776,88097,26647,96968,33269,103590,42356,112677,48330,118651,56823,127144,61688,132009,69404,139725,73228,143549,80191,150512,82905,153226,88839,159160,90175,160496,94934,165255,95127,165448,4040,907656,11.3,
Builsa South,ASHANTI,Ashanti,45469,0.15,7691,53160,11494,56963,17771,63240,21511,66980,28016,73485,31250,76719,37451,82920,39887,85356,45656,91125,47349,92818,52691,98160,53606,99075,58331,103800,58306,103775,62306,107775,61508,106977,1539,1380019,57.4,
Bunkpurugu Nakpanduri,UPPER EAST,Upper East,88365,0.29,14411,102776,22337,110702,33899,122264,41805,130170,53706,142071,60731,149096,71947,160312,77516,165881,87810,176175,92018,180383,101411,189776,104178,192543,112315,200680,113313,201678,120000,208365,119536,207901,5916,600177,,
Cape Coast Metro,UPPER EAST,Upper East,201168,0.65,29192,230360,50851,252019,72872,274040,95172,296340,117267,318435,138258,339426,158152,359320,176470,377638,193707,394875,209484,410652,224192,425360,237168,438336,248632,449800,257964,459132,265857,467025,272131,473299,35096,136056,,
Central Gonja,NORTH EAST,North East,111318,0.36,16266,127584,28139,139457,40458,151776,52664,163982,65046,176364,76506,187824,87690,199008,97651,208969,107382,218700,115920,227238,124266,235584,131239,242557,137802,249120,142746,254064,147342,258660,150586,261904,16017,8398998,4.7,
Central Tongu,CENTRAL,Central,74908,0.24,10148,85056,18935,93843,26276,101184,35439,110347,42668,117576,51483,126391,57764,132672,65711,140619,70892,145800,78004,152912,82148,157056,88313,163221,91172,166080,96057,170965,97532,172440,101332,176240,17036,760144,4,
Chereponi,SAVANNAH,Savannah,67609,0.22,10359,77968,17090,84699,25143,92752,31986,99595,40169,107778,46466,114075,54007,121616,59309,126918,66041,133650,70404,138013,76359,143968,79708,147317,84631,152240,86697,154306,90461,158070,91458,159067,4918,1531046,8.3,
